AVENIDA  FREDERICO CORVETO NAPOLEÃƒO,Inundação,624.31,1
RUA ALIETE MARIA DE OLIVEIRA,Inundação,623.67,1
AVENIDA JUSCELINO KUBISTCHEK,Inundação,601.07,1
RUA PRIMAVERA,Inundação,578.22,1
RUA CAPITÃO JOÃO FELISBERTO,Inundação,577.82,1
AVENIDA CONSTANTINO PINTO,Inundação,524.53,1
RODOVIA   BR-116,Inundação,523.0,1
RUA FRANCISCO CARLOS MACHADO,Inundação,518.93,1
RUA DOUTOR MÁRIO INÁCIO CARNEIRO,Inundação,516.03,1
AVENIDA  DOUTOR  PASSOS,Inundação,496.26,1
RUA MANOEL DORNELAS,Inundação,468.82,1
RUA TRINTA E UM DE MARCO,Inundação,453.71,1
RUA JOSÉ CIRILO,Inundação,451.26,1
RUA ANTÔNIO PEREIRA GALVÃO,Inundação,443.33,1
RUA FRANCISCO CASCELLI,Inundação,428.48,1
RUA NICOLA CASCELLI,Inundação,425.54,1
RUA JOSÉ ANTÔNIO AMARO,Inundação,412.95,1
RUA ALBERTINO TURETTA,Inundação,405.21,1
AVENIDA MARIA CÂNDIDA DO CARMO,Inundação,400.19,1
RUA DOUTOR CLÓVIS DE AQUINO,Inundação,396.23,1
RUA  SÃO  JOSÉ,Inundação,380.11,1
RUA ZITA VASCONCELOS,Inundação,375.46,1
RUA ANTONIO AFONSO SOBRINHO,Inundação,374.22,1
AVENIDA MAESTRO SANSÃO,Inundação,372.14,1
RUA SEBASTIÃO DORNELAS,Inundação,370.83,1
RUA ISRAEL PINHEIRO DE LACERDA,Inundação,366.49,1
RUA ARTHUR FERREIRA,Inundação,363.98,1
RUA ROCKFELLER,Inundação,347.19,1
RUA MARITA DORNELAS,Inundação,347.14,1
TRAVESSA HORMINDO SALES FERREIRA,Inundação,343.96,1
RUA  JOSÉ  FRANCISCO  PORTILHO,Inundação,341.33,1
PRAÇA CARLOS DRUMOND DE ANDRADE,Inundação,340.5,1
